client_number,measurement_a,measurement_b,measurement_c,measurement_d,measurement_e,measurement_f,measurement_g
0,8132,3827.52,2.12,0.47,0.27,888.79,1340.03
1,25239,4510.61,5.6,0.18,0.06,534.84,905.04
2,16038,4740.39,3.38,0.3,0.16,705.57,1298.48
3,10224,3951.35,2.59,0.39,0.2,808.13,1416.45
4,13082,3044.26,4.3,0.23,0.03,563.51,1100.31
5,5253,2347.58,2.24,0.45,0.19,704.9,1316.94
6,13121,4324.62,3.03,0.33,0.17,731.37,1446.55
7,11070,3314.32,3.34,0.3,0.13,686.09,1457.75
8,6605,2494.64,2.65,0.38,0.18,669.04,1018.45
9,10862,4056.75,2.68,0.37,0.22,747,1106.57
10,42208,4196.98,10.06,0.1,0.02,360.11,782.05
11,46437,4307.19,10.78,0.09,0.02,337.21,725.2
12,8762,3288.07,2.66,0.38,0.18,773.3,1322.11
13,14307,3784.02,3.78,0.26,0.12,658.52,1231.71
14,7085,2945.99,2.4,0.42,0.19,805.35,1369.51
15,11643,3987.75,2.92,0.34,0.18,747.02,1265.7
16,70682,5038.35,14.03,0.07,0.02,225.71,527.46
17,67372,4471.13,15.07,0.07,0.01,230.23,535.78
18,11034,3894.2,2.83,0.35,0.19,754.95,1298.14
19,33805,1026.22,32.94,0.03,0.01,122.1,135.49
